"","","","2023","2023"
"","","","Unit","Value"
"Botswana","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","46.64"
"Botswana","Food supply quantity (kg/capita/yr)","Meat","kg/cap","43.27"
"Botswana","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","89.37"
"Botswana","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","78.41"
"Botswana","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","48.88"
"Brazil","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","12.73"
"Brazil","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","8.18"
"Brazil","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","106.77"
"Brazil","Food supply quantity (kg/capita/yr)","Meat","kg/cap","104.57"
"Brazil","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","163.15"
"Brazil","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","38.9"
"Brazil","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","52.4"
"Bulgaria","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","5.2"
"Bulgaria","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","7.18"
"Bulgaria","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","74.43"
"Bulgaria","Food supply quantity (kg/capita/yr)","Meat","kg/cap","63.74"
"Bulgaria","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","179.9"
"Bulgaria","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","48.45"
"Bulgaria","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","100.29"
"Burkina Faso","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","1.09"
"Burkina Faso","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","10.49"
"Burkina Faso","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","59.85"
