Country,Country_Code,Eggs (kg/capita/year),Fish & Seafood (kg/capita/year),Fruits (kg/capita/year),Meat (kg/capita/year),Milk (kg/capita/year),Sugar (kg/capita/year),Vegetables (kg/capita/year),GDP per Capita (US$),Life Expectancy (Years),Diabetes Prevalence (%),Obesity (%)
Tonga,TON,3.69,28.58,97.13,156.95,52.11,47.22,261.75,5651.59373063157,72.895,19.6,71.568474
Trinidad and Tobago,TTO,7.03,17.96,73.53,65.74,68.43,38.87,95.29,18308.4536298575,73.49,12.4,31.466585
Tunisia,TUN,7.03,15.88,109.38,30.93,114.71,27.57,252.42,3951.11683376921,76.508,16.0,27.22567
Turkmenistan,TKM,11.56,2.36,51.55,51.16,278.57,16.98,130.42,6231.91323839698,70.073,7.1,20.524183
Tuvalu,TUV,11.0,55.92,111.93,85.22,25.96,61.8,72.42,6344.7750188689,67.105,19.0,64.14551
Turkiye,TUR,10.52,5.32,167.77,49.37,186.75,28.93,250.58,13375.0947282864,77.156,16.5,30.360369
Uganda,UGA,0.75,15.41,207.61,10.85,53.99,12.7,27.85,1002.30913917142,68.252,2.2,7.646965
Ukraine,UKR,16.15,16.86,51.81,49.45,148.52,68.19,180.37,5139.59814453125,73.422,6.0,27.759678
United Arab Emirates,ARE,7.3,23.11,64.13,67.84,110.83,31.43,70.94,49850.6872175164,82.909,20.7,30.26771
United Kingdom,GBR,10.78,17.7,92.09,84.44,236.73,47.3,165.67,49944.4702124201,81.2380975609756,7.4,29.023058
Tanzania,TZA,2.81,6.4,67.18,12.17,36.15,9.55,42.14,1224.00219726563,66.995,9.8,9.989563
United States,USA,15.59,21.94,169.2,122.06,226.3,62.95,129.06,81032.262117545,78.3853658536585,13.7,41.57081
Uruguay,URY,14.5,11.93,98.56,69.3,223.36,46.08,107.42,23019.4221560046,78.138,7.8,35.41038
Uzbekistan,UZB,12.56,5.21,106.84,47.36,275.62,19.72,262.59,2878.96879292451,72.388,7.5,29.433155
Vanuatu,VUT,3.53,30.04,138.5,40.99,26.54,18.49,121.19,3482.61458237637,71.477,19.7,21.17987
"Venezuela, RB",VEN,6.94,8.75,91.82,37.98,124.63,35.26,47.94,3617.43594578269,72.514,8.6,23.066704
Viet Nam,VNM,3.96,40.06,99.61,60.48,37.38,29.6,191.32,4323.35031982451,74.588,3.4,2.2934575
"Yemen, Rep.",YEM,1.6,2.02,26.47,13.72,32.8,25.08,19.85,,69.295,5.5,11.206609
Zambia,ZMB,2.7,12.89,4.27,17.63,8.1,10.69,17.95,1330.72780576709,66.349,10.3,9.5852585
Zimbabwe,ZWE,1.56,2.63,43.01,57.58,27.22,27.6,134.34,2195.22492079245,62.775,1.5,12.747547
